state,pred_change,pred_total,date,total_deaths,change
Kansas,5.663320541381836,233.3014795780182,2020-05-24,205,0
Kansas,6.408051013946533,239.70953059196472,2020-05-25,207,2
Kansas,5.551670074462891,245.2612006664276,2020-05-26,210,3
Kansas,6.487756729125977,251.7489573955536,2020-05-27,213,3
Kansas,6.882582664489746,258.63154006004333,2020-05-28,214,1
Kansas,4.2569475173950195,262.88848757743835,2020-05-29,215,1
Kansas,6.561558246612549,269.4500458240509,2020-05-30,215,0
Kansas,5.857659816741943,275.30770564079285,2020-05-31,215,0
Kansas,6.385659694671631,281.6933653354645,2020-06-01,217,2
Kentucky,8.993936538696289,354.9939365386963,2020-05-19,366,20
Kentucky,9.791060447692871,364.78499698638916,2020-05-20,376,10
Kentucky,6.946414947509766,371.7314119338989,2020-05-21,386,10
Kentucky,6.078571319580078,377.809983253479,2020-05-22,391,5
Kentucky,4.6360650062561035,382.4460482597351,2020-05-23,391,0
Kentucky,2.817028760910034,385.26307702064514,2020-05-24,391,0
Kentucky,4.372876167297363,389.6359531879425,2020-05-25,391,0
Kentucky,7.594094276428223,397.2300474643707,2020-05-26,394,3
Kentucky,8.67849063873291,405.90853810310364,2020-05-27,400,6
Kentucky,8.425773620605469,414.3343117237091,2020-05-28,409,9
Kentucky,5.887351036071777,420.2216627597809,2020-05-29,418,9
Kentucky,5.42963981628418,425.65130257606506,2020-05-30,431,13
Kentucky,3.077833890914917,428.72913646698,2020-05-31,431,0
Kentucky,3.3271708488464355,432.0563073158264,2020-06-01,439,8
Louisiana,46.12528991699219,2609.125289916992,2020-05-19,2581,18
Louisiana,52.25615310668945,2661.3814430236816,2020-05-20,2608,27
Louisiana,47.20262145996094,2708.5840644836426,2020-05-21,2629,21
Louisiana,45.8477783203125,2754.431842803955,2020-05-22,2668,39
Louisiana,40.156410217285156,2794.5882530212402,2020-05-23,2668,0
Louisiana,32.56855392456055,2827.156806945801,2020-05-24,2691,23
Louisiana,35.15505599975586,2862.3118629455566,2020-05-25,2691,0
Louisiana,65.36421203613281,2927.6760749816895,2020-05-26,2702,11
Louisiana,72.31813049316406,2999.9942054748535,2020-05-27,2723,21
Louisiana,65.51495361328125,3065.5091590881348,2020-05-28,2741,18
Louisiana,63.086849212646484,3128.5960083007812,2020-05-29,2767,26
Louisiana,53.36055374145508,3181.9565620422363,2020-05-30,2786,19
Louisiana,45.76782989501953,3227.724391937256,2020-05-31,2791,5
Louisiana,47.960723876953125,3275.685115814209,2020-06-01,2801,10
Maine,5.126998424530029,76.12699842453003,2020-05-19,73,2
Maine,5.220553874969482,81.34755229949951,2020-05-20,73,0
Maine,4.979509353637695,86.3270616531372,2020-05-21,73,0
Maine,4.29766321182251,90.62472486495972,2020-05-22,75,2
Maine,3.0171875953674316,93.64191246032715,2020-05-23,77,2
Maine,0.7741490006446838,94.41606146097183,2020-05-24,78,1
Maine,2.0641489028930664,96.4802103638649,2020-05-25,78,0
Maine,7.5795793533325195,104.05978971719742,2020-05-26,79,1
Maine,9.161245346069336,113.22103506326675,2020-05-27,81,2
Maine,7.029369354248047,120.2504044175148,2020-05-28,84,3
Maine,6.433870792388916,126.68427520990372,2020-05-29,85,1
Maine,4.340207099914551,131.02448230981827,2020-05-30,89,4
Maine,2.7240898609161377,133.7485721707344,2020-05-31,89,0
Maine,3.8971028327941895,137.6456750035286,2020-06-01,89,0
Maryland,49.65253829956055,2072.6525382995605,2020-05-19,2081,58
Maryland,57.854393005371094,2130.5069313049316,2020-05-20,2123,42
Maryland,47.69112014770508,2178.1980514526367,2020-05-21,2159,36
Maryland,43.5258903503418,2221.7239418029785,2020-05-22,2207,48
Maryland,40.1993522644043,2261.923294067383,2020-05-23,2243,36
Maryland,28.845218658447266,2290.76851272583,2020-05-24,2277,34
Maryland,34.4881706237793,2325.2566833496094,2020-05-25,2302,25
Maryland,54.649417877197266,2379.9061012268066,2020-05-26,2333,31
Maryland,57.655757904052734,2437.5618591308594,2020-05-27,2392,59
Maryland,57.16288757324219,2494.7247467041016,2020-05-28,2428,36
Maryland,48.810882568359375,2543.535629272461,2020-05-29,2466,38
Maryland,38.22829818725586,2581.763927459717,2020-05-30,2509,43
Maryland,28.918415069580078,2610.682342529297,2020-05-31,2532,23
Maryland,30.9616641998291,2641.644006729126,2020-06-01,2552,20
Massachusetts,94.902862548828125,5956.902862548828,2020-05-19,5938,76
Massachusetts,96.97748565673828,6053.880348205566,2020-05-20,6066,128
Massachusetts,98.15486907958984,6152.035217285156,2020-05-21,6148,82
Massachusetts,89.11727142333984,6241.152488708496,2020-05-22,6228,80
Massachusetts,71.173736572265625,6312.326225280762,2020-05-23,6304,76
Massachusetts,64.67680358886719,6377.003028869629,2020-05-24,6372,68
Massachusetts,67.3970718383789,6444.400100708008,2020-05-25,6416,44
Massachusetts,83.31135559082031,6527.711456298828,2020-05-26,6473,57
Massachusetts,90.67485046386719,6618.386306762695,2020-05-27,6547,74
Massachusetts,88.65995788574219,6707.0462646484375,2020-05-28,6640,93
Massachusetts,82.10279846191406,6789.149063110352,2020-05-29,6718,78
Massachusetts,70.22693634033203,6859.375999450684,2020-05-30,6768,50
Massachusetts,55.42267608642578,6914.798675537109,2020-05-31,6846,78
Massachusetts,55.310462951660156,6970.1091384887695,2020-06-01,7035,189
Michigan,43.979957580566406,4958.979957580566,2020-05-19,5017,102
Michigan,55.25898742675781,5014.238945007324,2020-05-20,5060,43
Michigan,41.12813186645508,5055.367076873779,2020-05-21,5129,69
Michigan,40.987548828125,5096.354625701904,2020-05-22,5158,29
Michigan,38.68270492553711,5135.037330627441,2020-05-23,5223,65
Michigan,30.277206420898437,5165.31453704834,2020-05-24,5228,5
Michigan,34.5117301940918,5199.826267242432,2020-05-25,5241,13
Michigan,55.65235900878906,5255.478626251221,2020-05-26,5266,25
Michigan,72.035369873046875,5327.513996124268,2020-05-27,5334,68
Michigan,70.58001708984375,5398.094013214111,2020-05-28,5372,38
Michigan,66.5538330078125,5464.647846221924,2020-05-29,5406,34
Michigan,57.47256088256836,5522.120407104492,2020-05-30,5464,58
Michigan,44.3033332824707,5566.423740386963,2020-05-31,5491,27
Michigan,45.164024353027344,5611.58776473999,2020-06-01,5516,25
Minnesota,44.46169662475586,784.4616966247559,2020-05-19,757,17
Minnesota,51.54133224487305,836.0030288696289,2020-05-20,786,29
Minnesota,50.913570404052734,886.9165992736816,2020-05-21,818,32
Minnesota,51.45111083984375,938.3677101135254,2020-05-22,851,33
Minnesota,48.56237030029297,986.9300804138184,2020-05-23,861,10
Minnesota,42.15529251098633,1029.0853729248047,2020-05-24,878,17
Minnesota,49.16241455078125,1078.247787475586,2020-05-25,890,12
Minnesota,77.63953399658203,1155.887321472168,2020-05-26,908,18
Minnesota,93.08795928955078,1248.9752807617187,2020-05-27,942,34
Minnesota,93.74150848388672,1342.7167892456055,2020-05-28,977,35
Minnesota,94.0147705078125,1436.731559753418,2020-05-29,1006,29
Minnesota,89.12789154052734,1525.8594512939453,2020-05-30,1036,30
Minnesota,79.63097381591797,1605.4904251098633,2020-05-31,1050,14
Minnesota,84.66383361816406,1690.1542587280273,2020-06-01,1060,10
Mississippi,18.51280975341797,545.512809753418,2020-05-19,554,27
Mississippi,19.261268615722656,564.7740783691406,2020-05-20,570,16
Mississippi,17.265369415283203,582.0394477844238,2020-05-21,580,10
Mississippi,15.73984432220459,597.7792921066284,2020-05-22,595,15
Mississippi,14.774935722351074,612.5542278289795,2020-05-23,616,21
Mississippi,9.201775550842285,621.7560033798218,2020-05-24,625,9
Mississippi,11.885293960571289,633.6412973403931,2020-05-25,635,10
Mississippi,22.86702537536621,656.5083227157593,2020-05-26,652,17
Mississippi,24.128366470336914,680.6366891860962,2020-05-27,670,18
Mississippi,25.625106811523438,706.2617959976196,2020-05-28,693,23
Mississippi,26.0876407623291,732.3494367599487,2020-05-29,710,17
Mississippi,24.3121395111084,756.6615762710571,2020-05-30,723,13
Mississippi,18.499189376831055,775.1607656478882,2020-05-31,734,11
Mississippi,23.243101119995117,798.4038667678833,2020-06-01,739,5
Missouri,26.281417846679687,637.2814178466797,2020-05-19,631,20
Missouri,27.115373611450195,664.3967914581299,2020-05-20,640,9
Missouri,26.07817268371582,690.4749641418457,2020-05-21,668,28
Missouri,24.594097137451172,715.0690612792969,2020-05-22,677,9
Missouri,22.09160804748535,737.1606693267822,2020-05-23,682,5
Missouri,15.215290069580078,752.3759593963623,2020-05-24,686,4
Missouri,20.52409553527832,772.9000549316406,2020-05-25,689,3
