state,pred_change,pred_total,date,total_deaths,change
Illinois,104.92707061767578,4832.187705993652,2020-05-23,4790,75
Illinois,72.85037994384766,4905.0380859375,2020-05-24,4856,66
Illinois,77.69464874267578,4982.732734680176,2020-05-25,4885,29
Illinois,128.04055786132812,5110.773292541504,2020-05-26,4923,38
Illinois,133.39854431152344,5244.171836853027,2020-05-27,5083,160
Illinois,137.0528564453125,5381.22469329834,2020-05-28,5186,103
Illinois,146.9712371826172,5528.195930480957,2020-05-29,5270,84
Illinois,106.94003295898437,5635.135963439941,2020-05-30,5330,60
Illinois,69.451904296875,5704.587867736816,2020-05-31,5390,60
Illinois,71.79546356201172,5776.383331298828,2020-06-01,5412,22
Indiana,34.90084457397461,1799.9008445739746,2020-05-19,1824,59
Indiana,31.77020263671875,1831.6710472106934,2020-05-20,1864,40
Indiana,37.58744430541992,1869.2584915161133,2020-05-21,1913,49
Indiana,54.502593994140625,1923.761085510254,2020-05-22,1941,28
Indiana,43.436370849609375,1967.1974563598633,2020-05-23,1964,23
Indiana,26.484386444091797,1993.681842803955,2020-05-24,1976,12
Indiana,31.79690933227539,2025.4787521362305,2020-05-25,1984,8
Indiana,57.97639083862305,2083.4551429748535,2020-05-26,2004,20
Indiana,38.164432525634766,2121.6195755004883,2020-05-27,2030,26
Indiana,30.38962173461914,2152.0091972351074,2020-05-28,2068,38
Indiana,37.31789016723633,2189.3270874023437,2020-05-29,2110,42
Indiana,44.9084358215332,2234.235523223877,2020-05-30,2125,15
Indiana,53.61576843261719,2287.851291656494,2020-05-31,2134,9
Indiana,34.01028823852539,2321.8615798950195,2020-06-01,2143,9
Iowa,11.8796968460083,366.8796968460083,2020-05-19,367,12
Iowa,10.594758033752441,377.47445487976074,2020-05-20,393,26
Iowa,17.193584442138672,394.6680393218994,2020-05-21,410,17
Iowa,16.86079978942871,411.5288391113281,2020-05-22,424,14
Iowa,12.258163452148438,423.78700256347656,2020-05-23,446,22
Iowa,14.666451454162598,438.45345401763916,2020-05-24,456,10
Iowa,13.524497985839844,451.977952003479,2020-05-25,456,0
Iowa,13.767727851867676,465.7456798553467,2020-05-26,477,21
Iowa,15.651388168334961,481.39706802368164,2020-05-27,496,19
Iowa,16.511945724487305,497.90901374816895,2020-05-28,506,10
Iowa,15.156859397888184,513.0658731460571,2020-05-29,524,18
Iowa,15.72036075592041,528.7862339019775,2020-05-30,531,7
Iowa,11.640679359436035,540.4269132614136,2020-05-31,535,4
Iowa,11.651287078857422,552.078200340271,2020-06-01,555,20
Kansas,3.368938684463501,201.3689386844635,2020-05-19,199,1
Kansas,2.758302688598633,204.12724137306213,2020-05-20,202,3
Kansas,2.442451000213623,206.56969237327576,2020-05-21,204,2
Kansas,2.443283796310425,209.01297616958618,2020-05-22,205,1
Kansas,1.952667236328125,210.9656434059143,2020-05-23,205,0
Kansas,1.4240763187408447,212.38971972465515,2020-05-24,205,0
Kansas,1.5396549701690674,213.92937469482422,2020-05-25,207,2
