state,date,total_deaths,change,pred_change,pred_total
Indiana,2020-05-20,1864,40,47.053777777777775,1858.2495555555554
Indiana,2020-05-21,1913,49,43.24650000000001,1901.4960555555554
Indiana,2020-05-22,1941,28,44.38716666666665,1945.883222222222
Indiana,2020-05-23,1964,23,43.55988888888888,1989.443111111111
Indiana,2020-05-24,1976,12,24.958444444444446,2014.4015555555554
Indiana,2020-05-25,1984,8,36.18722222222224,2050.5887777777775
Indiana,2020-05-26,2004,20,55.244333333333344,2105.833111111111
Indiana,2020-05-27,2030,26,53.929333333333325,2159.7624444444446
Indiana,2020-05-28,2068,38,52.320000000000014,2212.0824444444447
Indiana,2020-05-29,2110,42,53.01944444444444,2265.1018888888893
Indiana,2020-05-30,2125,15,51.52561111111111,2316.6275000000005
Indiana,2020-05-31,2134,9,42.83872222222221,2359.4662222222228
Indiana,2020-06-01,2143,9,46.669055555555566,2406.1352777777784
Iowa,2020-05-19,367,12,16.772166666666667,371.7721666666667
Iowa,2020-05-20,393,26,16.141000000000005,387.9131666666667
Iowa,2020-05-21,410,17,18.820833333333336,406.73400000000004
Iowa,2020-05-22,424,14,19.17194444444444,425.90594444444446
Iowa,2020-05-23,446,22,14.484055555555555,440.39
Iowa,2020-05-24,456,10,14.434666666666665,454.82466666666664
Iowa,2020-05-25,456,0,11.08738888888889,465.9120555555555
Iowa,2020-05-26,477,21,21.946222222222225,487.85827777777774
Iowa,2020-05-27,496,19,26.47211111111112,514.3303888888888
Iowa,2020-05-28,506,10,21.399277777777787,535.7296666666666
Iowa,2020-05-29,524,18,16.977722222222223,552.7073888888889
Iowa,2020-05-30,531,7,17.773388888888896,570.4807777777778
Iowa,2020-05-31,535,4,14.625666666666673,585.1064444444445
Iowa,2020-06-01,555,20,19.461777777777773,604.5682222222223
Kansas,2020-05-19,199,1,2.4551666666666665,200.45516666666666
Kansas,2020-05-20,202,3,2.809222222222222,203.26438888888887
Kansas,2020-05-21,204,2,2.065166666666666,205.32955555555554
Kansas,2020-05-22,205,1,1.8108333333333337,207.14038888888888
Kansas,2020-05-23,205,0,2.3256666666666663,209.46605555555556
Kansas,2020-05-24,205,0,1.583833333333333,211.0498888888889
Kansas,2020-05-25,207,2,1.7980555555555555,212.84794444444444
Kansas,2020-05-26,210,3,2.271000000000001,215.11894444444442
Kansas,2020-05-27,213,3,2.1353888888888886,217.2543333333333
Kansas,2020-05-28,214,1,1.9349444444444441,219.18927777777776
Kansas,2020-05-29,215,1,1.7730555555555554,220.9623333333333
Kansas,2020-05-30,215,0,1.855833333333333,222.81816666666663
Kansas,2020-05-31,215,0,2.2136666666666662,225.03183333333328
Kansas,2020-06-01,217,2,2.122888888888889,227.15472222222218
Kentucky,2020-05-19,366,20,7.785777777777777,353.78577777777775
Kentucky,2020-05-20,376,10,8.190777777777779,361.97655555555554
Kentucky,2020-05-21,386,10,10.038,372.01455555555555
Kentucky,2020-05-22,391,5,7.560555555555555,379.5751111111111
Kentucky,2020-05-23,391,0,5.640111111111112,385.2152222222222
Kentucky,2020-05-24,391,0,6.331888888888892,391.5471111111111
Kentucky,2020-05-25,391,0,8.279499999999995,399.8266111111111
Kentucky,2020-05-26,394,3,11.571944444444446,411.39855555555556
Kentucky,2020-05-27,400,6,10.418833333333339,421.8173888888889
Kentucky,2020-05-28,409,9,9.571055555555557,431.3884444444445
Kentucky,2020-05-29,418,9,6.17311111111111,437.56155555555557
Kentucky,2020-05-30,431,13,5.879888888888889,443.44144444444447
Kentucky,2020-05-31,431,0,7.550111111111108,450.9915555555556
Kentucky,2020-06-01,439,8,8.628333333333332,459.6198888888889
Louisiana,2020-05-19,2581,18,50.09361111111111,2613.093611111111
Louisiana,2020-05-20,2608,27,47.0686111111111,2660.162222222222
Louisiana,2020-05-21,2629,21,38.76333333333334,2698.9255555555555
Louisiana,2020-05-22,2668,39,28.716500000000003,2727.6420555555555
Louisiana,2020-05-23,2668,0,31.463333333333352,2759.1053888888887
Louisiana,2020-05-24,2691,23,24.95433333333334,2784.059722222222
Louisiana,2020-05-25,2691,0,45.70772222222221,2829.767444444444
Louisiana,2020-05-26,2702,11,36.82055555555556,2866.5879999999997
Louisiana,2020-05-27,2723,21,39.08355555555555,2905.671555555555
Louisiana,2020-05-28,2741,18,39.93866666666666,2945.6102222222216
Louisiana,2020-05-29,2767,26,42.43222222222222,2988.042444444444
Louisiana,2020-05-30,2786,19,43.710999999999984,3031.7534444444436
Louisiana,2020-05-31,2791,5,39.56599999999999,3071.3194444444434
Louisiana,2020-06-01,2801,10,41.86561111111109,3113.1850555555548
Maine,2020-05-19,73,2,1.317222222222222,72.31722222222223
Maine,2020-05-20,73,0,1.2504444444444442,73.56766666666667
Maine,2020-05-21,73,0,0.808,74.37566666666667
Maine,2020-05-22,75,2,0.7433333333333333,75.11900000000001
Maine,2020-05-23,77,2,1.0791111111111111,76.19811111111113
Maine,2020-05-24,78,1,0.9847222222222223,77.18283333333335
Maine,2020-05-25,78,0,0.8516666666666668,78.03450000000002
Maine,2020-05-26,79,1,1.1928888888888887,79.22738888888891
Maine,2020-05-27,81,2,1.3617777777777778,80.58916666666669
Maine,2020-05-28,84,3,1.3010555555555556,81.89022222222223
Maine,2020-05-29,85,1,1.3365555555555548,83.22677777777778
Maine,2020-05-30,89,4,1.0432777777777775,84.27005555555556
Maine,2020-05-31,89,0,1.5057222222222224,85.77577777777778
Maine,2020-06-01,89,0,1.159388888888889,86.93516666666666
Maryland,2020-05-19,2081,58,64.60261111111112,2087.602611111111
Maryland,2020-05-20,2123,42,58.25511111111111,2145.857722222222
Maryland,2020-05-21,2159,36,51.00861111111108,2196.866333333333
Maryland,2020-05-22,2207,48,44.31377777777777,2241.180111111111
Maryland,2020-05-23,2243,36,43.657999999999994,2284.8381111111107
Maryland,2020-05-24,2277,34,32.858833333333344,2317.696944444444
